pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
-30,32,5500,E00001075,Barnet,125352.90999999999,9,110,13133932,0,0,0
14,41,5500,E00022414,Waltham Forest,89293,12,169,8787945,0,0,0
30,-20,5620,E00003814,Bromley,62149,7,106,7615821,0,0,0
-31,57,8074.999999999998,E00001368,Barnet,231216,3,44,4209051,0,0,0
-23,64,6140.000000000001,E00001216,Barnet,95537,8,60,6550260,0,0,0
16,67,4310.000000000001,E00007127,Enfield,59605,3,31,1433428,0,0,0
-36,21,5380.000000000001,E00003070,Brent,79682.76,14,179,15872149,0,0,0
54,22,3999.999999999999,E00000092,Barking and Dagenham,56678,13,151,7524360,0,0,0
-35,-38,5789.999999999999,E00017566,Merton,116625,10,96,14189860,0,0,0
8,27,6044.999999999999,E00008971,Hackney,77221.93999999999,22,222,18985904,0,0,0
16,-1,7000,E00182178,Greenwich,49503.857142857145,15,243,26035238,0,0,0
59,-2,3605.0000000000005,E00001976,Bexley,47828,12,116,5717848,0,0,0
61,-2,3505,E00176935,Bexley,87463,7,108,5032199,0,0,0
42,2,4935,E00008406,Greenwich,236064,17,166,10349648,0,0,0
-13,55,5995.000000000001,E00000580,Barnet,156835,11,96,9181506,0,0,0
3,47,4360,E00007752,Enfield,45153.56,15,174,6781360,0,0,0
58,50,4550,E00011496,Havering,38951,0,27,1448887,0,0,0
-60,1,5980.000000000001,E00013303,Hounslow,183490,7,45,6419111,0,0,0
-74,-6,4000,E00013106,Hounslow,145044,12,82,10872157,0,0,0
-1,-19,6650,E00016019,Lambeth,154224,17,120,18117548,0,0,0
9,48,3525,E00007085,Enfield,39762,3,95,3705560,0,0,0
36,9,4510.000000000001,E00017625,Newham,60632,8,81,8730658,0,0,0
57,40,3560,E00011643,Havering,32517,5,65,3071453,0,0,0
-15,70,7030,E00007029,Enfield,90725,0,3,317398,0,0,0
18,13,6295.000000000002,E00167214,Tower Hamlets,66683,20,235,21566631,0,0,1
-23,10,11265.000000000002,E00023706,Westminster,227153.79,48,348,99971043,1,0,1
-61,49,6030,E00011126,Harrow,233927,3,26,2994778,0,0,0
-21,-52,5500,E00020913,Sutton,143451,18,134,17844846,0,0,0
21,44,5295,E00022030,Waltham Forest,81404.36000000002,9,118,7538746,0,0,0
83,39,4515,E00011452,Havering,57412,0,7,399189,0,0,0
0,74,6395.000000000002,E00007029,Enfield,90725,0,2,153103,0,0,0
31,47,5630,E00018421,Redbridge,55884,5,66,5838425,0,0,0
